B52,B52_A B52_B
CG13410,CG13410
CG13421,CG13421
CG13425,CG13425
CG13431,CG13431
CG13432,CG13432
CG13439,CG13439
CG1344,CG1344
CG13445,CG13445
CG13457,CG13457
CG13458,CG13458
CG13461,CG13461
CG13465,CG13465
CG1347,CG1347
CG13472,CG13472
CG13476,CG13476
CG13482,CG13482
CG13484,CG13484
CG13503,CG13503
CG13506,CG13506
CG13521,CG13521
CG13531,CG13531
CG13532,CG13532
CG13539,CG13539
CG1354,CG1354
CG13550,CG13550
CG13551,CG13551
CG13560,CG13560
CG13563,CG13563
CG13567,CG13567
CG13579,CG13579
CG1358,CG1358
CG13585,CG13585
CG13586,CG13586
CG13594,CG13594
CG13598,CG13598_A CG13598_B
CG1360,CG1360
CG13601,CG13601
CG13604,CG13604
CG13605,CG13605
CG13606,CG13606
CG13607,CG13607
CG13608,CG13608
CG13609,CG13609
CG13610,CG13610
CG1362,CG1362
CG13622,CG13622
CG13624,CG13624
CG13625,CG13625
CG13626,CG13626
CG13628,CG13628
CG1363,CG1363
CG13631,CG13631
CG13633,CG13633
CG13636,CG13636
CG13641,CG13641
CG13645,CG13645
CG13648,CG13648
CG13650,CG13650
CG13667,CG13667
CG13670,CG13670
CG13671,CG13671
CG13675,CG13675
CG13676,CG13676
CG13685,CG13685
CG13687,CG13687
CG13688,CG13688
CG13693,CG13693
CG13695,CG13695
